candidate_id,rank,final_score,semantic_score,experience_score,behavioral_score,context_score,explanation
CID-0161,1,0.6497,0.3712,0.9959,0.6686,0.7902,Limited direct skill match with JD. 6y experience matches the 5-8y requirement.
CID-0425,2,0.629,0.1683,1.0,0.9182,0.8536,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Bengaluru).
CID-0006,3,0.621,0.1946,0.9709,0.9698,0.7098,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Bengaluru).
CID-0482,4,0.6178,0.2655,1.0,0.8432,0.62,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0194,5,0.6177,0.2944,0.6612,0.9256,0.9971,"Limited direct skill match with JD. 12y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Pune)."
CID-0491,6,0.6075,0.1384,1.0,0.9087,0.8024,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0438,7,0.607,0.1876,1.0,0.9026,0.6763,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0454,8,0.6051,0.1776,0.9842,0.6901,1.0,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. location match (Remote — India).
CID-0246,9,0.6038,0.2053,0.904,0.8285,0.8666,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Bengaluru).
CID-0162,10,0.6016,0.2599,0.8629,0.7862,0.8313,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Remote — India)."
CID-0127,11,0.5975,0.2403,1.0,0.6066,0.8668,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. location match (Remote — India).
CID-0318,12,0.5964,0.2347,0.9015,0.7414,0.859,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Hyderabad)."
CID-0237,13,0.5938,0.1857,1.0,0.8247,0.6975,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Remote — India).
CID-0263,14,0.5935,0.219,0.998,0.9363,0.4607,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0303,15,0.5898,0.2743,0.7208,1.0,0.6657,"Limited direct skill match with JD. 17y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0129,16,0.587,0.2137,0.8605,0.8605,0.7622,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0207,17,0.5865,0.1365,0.9972,0.663,1.0,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. location match (Hyderabad).
CID-0178,18,0.5862,0.148,1.0,0.6563,0.9713,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. location match (Remote — India).
CID-0086,19,0.5821,0.1226,0.9862,0.831,0.8019,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0351,20,0.5811,0.245,1.0,0.6649,0.6672,Limited direct skill match with JD. 8y experience matches the 5-8y requirement.
CID-0136,21,0.5803,0.1515,0.9531,0.7675,0.8529,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Remote — India).
CID-0294,22,0.5799,0.1766,1.0,0.6951,0.8016,Limited direct skill match with JD. 5y experience matches the 5-8y requirement.
CID-0286,23,0.579,0.1012,0.8661,0.966,0.8588,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Remote — India).
CID-0147,24,0.5785,0.1512,0.8699,0.9732,0.706,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Pune)."
